ilce_adi,mahalle_adi,arkeolojik_alan
Çumra,GÜVERCİNLİK,VAR
Çumra,KARKIN,YOK
Çumra,OKÇU,YOK
Çumra,YENİSU,YOK
Çumra,APA,VAR
Çumra,ABDİTOLU,YOK
Çumra,ADAKALE,VAR
Çumra,ALEMDAR,YOK
Çumra,APASARAYCIK,YOK
Çumra,AFŞAR,YOK
Çumra,AVDUL,YOK
Çumra,BALÇIKHİSAR,YOK
Çumra,BEYLERCE,YOK
Çumra,B.AŞLAMA,YOK
Çumra,CİCEK,YOK
Çumra,ÇUKURKAVAK,YOK
Çumra,DİNLENDİK,YOK
Çumra,DİNEKSARAY,VAR
Çumra,DOĞANLI,YOK
Çumra,FETHİYE,YOK
Çumra,GÖKHÜYÜK,VAR
Çumra,ERENTEPE,YOK
Çumra,İNLİ,YOK
Çumra,KUZUCU,VAR
Çumra,KÜÇÜKKÖY,VAR
Çumra,SEÇME,YOK
Çumra,SÜRGÜÇ,YOK
Çumra,TAHTALI,YOK
Çumra,T.KARAHÜYÜK,VAR
Çumra,TAŞAĞIL,YOK
Çumra,UZUNKUYU,YOK
Çumra,ÜÇHÜYÜK,YOK
Çumra,ÜRÜNLÜ,YOK
Çumra,YÖRÜKCAMİLİ,YOK
Çumra,ÇAYBAŞI,YOK
Derbent,ÇİFTLİKÖZÜ,YOK
Derbent,DEĞİŞ,YOK
Derbent,TEKKE,YOK
Derbent,GÜNEYKÖY,YOK
Derbent,MÜLAYİM,YOK
Derbent,SARAYPINAR,YOK
Derbent,YASSIÖREN,YOK
Derbent,SÜLEYMAN,YOK
Derbent,KARALAR,YOK
Derebucak,ÇAMLIK,VAR
Derebucak,DURAK,YOK
Derebucak,GENCEK,YOK
Derebucak,GÖYNEM,YOK
Derebucak,PINARBAŞI,VAR
Derebucak,TAŞLIPINAR,YOK
Derebucak,TEPEARASI,VAR
Derebucak,UĞURLU,YOK
Doğanhisar,BAŞKÖY,YOK
Doğanhisar,YAZLICA,VAR
Doğanhisar,AYASLAR,YOK
Doğanhisar,ÇINAROBA,YOK
Doğanhisar,DEŞTİĞİN,VAR
Doğanhisar,FIRINLI,YOK
Doğanhisar,GÜVENDİK,VAR
Doğanhisar,İLYASLAR,YOK
Doğanhisar,KARAAĞA,YOK
Doğanhisar,KEMER,YOK
Doğanhisar,KOÇAŞ,VAR
Doğanhisar,KONAKKALE,YOK
Doğanhisar,TEKKE,YOK
Doğanhisar,UNCULAR,VAR
Doğanhisar,YAZIR,YOK
Doğanhisar,YENİCE,YOK
Emirgazi,EKİZLİ,YOK
Emirgazi,AKMESCİT,VAR
Emirgazi,BESCİ,YOK
Emirgazi,DEMİRCİ,YOK
Emirgazi,GÖLÖREN,YOK
Emirgazi,IŞIKLAR,YOK
Emirgazi,KARAÖREN,VAR
Emirgazi,MEŞELİ,YOK
Emirgazi,ÖBEKTAŞ,YOK
Emirgazi,YAMAÇ,YOK
Ereğli,ZENGEN,VAR
Ereğli,ACIPINAR,YOK
Ereğli,ADABAĞ,YOK
Ereğli,AKHÜYÜK,YOK
Ereğli,ALHAN,YOK
Ereğli,AŞAĞI GÖNDELEN,YOK
Ereğli,AŞIKLAR,YOK
Ereğli,AZİZİYE,YOK
Ereğli,BAHÇELİ,YOK
Ereğli,BELCEAĞAÇ,YOK
Ereğli,BELKAYA,VAR
Ereğli,BEYKÖY,YOK
Ereğli,BEYÖREN,YOK
Ereğli,BULGURLUK,YOK
Ereğli,BURHANİYE,YOK
Ereğli,BÜYÜKDEDE,YOK
Ereğli,ÇAKMAK,YOK
Ereğli,ÇAYHAN,YOK
Ereğli,ÇİLLER,VAR
Ereğli,ÇİMENCİK,YOK
Ereğli,GAYBİ,YOK
Ereğli,GÖKÇEYAZI,YOK
Ereğli,GÖKTÖME,YOK
Ereğli,HACIMEMİŞ,YOK
Ereğli,KAMIŞLIKUYU,YOK
Ereğli,KARABURUN,YOK
Ereğli,KARGACI,VAR
Ereğli,KIZILGEDİK,YOK
Ereğli,KUSKUNCUK,YOK
Ereğli,KUTÖREN,YOK
Ereğli,KUZUKUYU,VAR
Ereğli,MELİCEK,YOK
Ereğli,ORHANİYE,VAR
Ereğli,ÖZGÜRLER,YOK
Ereğli,PINARÖZÜ,YOK
Ereğli,SARICA,YOK
Ereğli,SARITOPALLI,YOK
Ereğli,SELVİLİ,YOK
Ereğli,TAŞAĞIL,YOK
Ereğli,TAŞBUDAK,YOK
Ereğli,TATLIKUYU,YOK
Ereğli,TÜRKMEN,YOK
Ereğli,ULUMEŞE,YOK
Ereğli,YAZLIK,YOK
Ereğli,YELLİCE,YOK
Ereğli,YENİKÖY,VAR
Ereğli,YILDIZLI,YOK
Ereğli,YUKARIGÖNDELEN,YOK
Ereğli,HORTU,VAR
Ereğli,ACIKUYU,VAR
Güneysınır,GÜRAĞAÇ,YOK
Güneysınır,AĞAÇOBA,YOK
Güneysınır,ALANÖZÜ,YOK
Güneysınır,AVCITEPE,YOK
Güneysınır,AYDOĞMUŞ,YOK
Güneysınır,HABİLLER,YOK
Güneysınır,KARAGÜNEY,YOK
Güneysınır,KAYAAĞZI,YOK
Güneysınır,KIZILÖZ,YOK
Güneysınır,KURUKAVAK,YOK
Güneysınır,MEHMET ALİ,YOK
Güneysınır,ÖMEROĞLU,YOK
Güneysınır,ÖRENBOYALI,YOK
Güneysınır,SARIHACI,YOK
Hadim,AŞAĞIEŞENLER,YOK
Hadim,AŞAĞIKIZILKAYA,YOK
Hadim,BADEMLİ,YOK
Hadim,BAĞBAŞI,YOK
Hadim,BEYRELİ,YOK
Hadim,BOLAT,VAR
Hadim,ÇİFTEPINAR,YOK
Hadim,DEDEMLİ,VAR
Hadim,DÜLGERLER,YOK
Hadim,FAKILAR,YOK
Hadim,GAZİLER,YOK
Hadim,GÖYNÜKKIŞLA,YOK
Hadim,GÜLPINAR,YOK
Hadim,İĞDEÖREN,YOK
Hadim,KALINAĞIL,YOK
Hadim,KAPLANLI,YOK
Hadim,GEZLEVİ,YOK
Hadim,KÜPLÜCE,YOK
Hadim,ODUNCU,VAR
Hadim,SARNIÇ,YOK
Hadim,SELAHATTİN,YOK
Hadim,UMURLAR,YOK
Hadim,YAĞCI,VAR
Hadim,YALINÇEVRE,YOK
Hadim,YELMEZ,YOK
Hadim,YENİKONAK,YOK
Hadim,YUKARIEŞENLER,YOK
Halkapınar,İVRİZ,VAR
Halkapınar,BÜYÜKDOĞAN,VAR
Halkapınar,DEDELİ,YOK
Halkapınar,DELİMAHMUTLU,YOK
Halkapınar,ESKİHİSAR,YOK
Halkapınar,KARAYUSUFLU,YOK
Halkapınar,KAYASARAY,YOK
Halkapınar,KÖRLÜ,YOK
Halkapınar,KÜSERE,YOK
Halkapınar,OSMANKÖSELİ,VAR
Halkapınar,SEYDİFAKILI,VAR
Halkapınar,YASSIKAYA,YOK
Halkapınar,YAYIKLI,YOK
Halkapınar,YEŞİLYURT,YOK
Halkapınar,ÇAKILLAR,YOK
Hüyük,BAŞLAMIŞ,YOK
Hüyük,BUDAK,YOK
Hüyük,BURUNSUZ,YOK
Hüyük,ÇAMLICA,YOK
Hüyük,ÇAVUŞ,YOK
Hüyük,ÇUKURKENT,VAR
Hüyük,DEĞİRMENALTI,YOK
Hüyük,GÖÇERİ,YOK
Hüyük,GÖRÜNMEZ,YOK
Hüyük,İLMEN,YOK
Hüyük,İMRENLER,VAR
Hüyük,KIRELİ,VAR
Hüyük,KÖŞK,YOK
Hüyük,MUTLU,YOK
Hüyük,PINARBAŞI,YOK
Hüyük,SELKİ,VAR
Hüyük,SULUDERE,YOK
Hüyük,TOLCA,YOK
Hüyük,YENİCE,YOK
Ilgın,ARGITHANI,VAR
Ilgın,BEYKONAK,VAR
Ilgın,ÇAVUŞÇUGÖL,VAR
Ilgın,AĞALAR,VAR
Ilgın,BALKI,YOK
Ilgın,BARAKMUSLU,YOK
Ilgın,BELEKLER,YOK
Ilgın,BOĞAZKENT,YOK
Ilgın,BULCUK,YOK
Ilgın,BÜYÜKOBA,YOK
Ilgın,ÇİĞİL,VAR
Ilgın,ÇATAK,YOK
Ilgın,ÇOBANKAYA,YOK
Ilgın,ÇÖMLEKCİ,YOK
Ilgın,DEREKÖY,YOK
Ilgın,DIĞRAK,YOK
Ilgın,DÜĞER,YOK
Ilgın,ELDEŞ,YOK
Ilgın,GEÇİT,YOK
Ilgın,GEDİKÖREN,VAR
Ilgın,GÖSTERE,VAR
Ilgın,GÖKÇEYURT,YOK
Ilgın,GÖLYAKA,YOK
Ilgın,GÖKBUDAK,YOK
Ilgın,GÜNEYPINAR,YOK
Ilgın,HARMANYAZI,YOK
Ilgın,İHSANİYE,YOK
Ilgın,KAPAKLI,YOK
Ilgın,KARAKÖY,YOK
Ilgın,KALEKÖY,YOK
Ilgın,MAHMUTHİSAR,VAR
Ilgın,MECİDİYE,YOK
Ilgın,MİSAFİRLİ,YOK
Ilgın,OLUKPINAR,YOK
Ilgın,ORHANİYE,YOK
Ilgın,ORMANÖZÜ,YOK
Ilgın,SADIKKÖY,VAR
Ilgın,SEBİLLER,YOK
Ilgın,TEKELER,YOK
Ilgın,YUKARIÇİĞİL,YOK
Ilgın,YORAZLAR,YOK
Ilgın,ZAFERİYE,YOK
Ilgın,AVDAN,YOK
Kadınhanı,OSMANCIK,YOK
Kadınhanı,AFŞARLI,YOK
Kadınhanı,ALABAĞ,YOK
Kadınhanı,ATLANTI,YOK
Kadınhanı,BAKIRPINAR,YOK
Kadınhanı,BAŞKUYU,YOK
Kadınhanı,BAYRAMLI,YOK
Kadınhanı,BEYKAVAĞI,YOK
Kadınhanı,BULGURPINAR,YOK
Kadınhanı,ÇAVDAR,YOK
Kadınhanı,ÇEŞMECİK,VAR
Kadınhanı,ÇUBUK,YOK
Kadınhanı,DEMİROLUK,YOK
Kadınhanı,HACIMEHMETLİ,YOK
Kadınhanı,HACIOFLAZLAR,YOK
Kadınhanı,HACIPİRLİ,YOK
Kadınhanı,KABACALI,YOK
Kadınhanı,KAMIŞLIÖZÜ,YOK
Kadınhanı,KARAHİSARLI,YOK
Kadınhanı,KARAKURTLU,YOK
Kadınhanı,KARASEVİNÇ,YOK
Kadınhanı,KARAYÜRÜKLÜ,YOK
Kadınhanı,KIZILKUYU,YOK
Kadınhanı,KOLUKISA,YOK
Kadınhanı,KONURÖREN,YOK
Kadınhanı,KÖKEZ,YOK
Kadınhanı,KÖYLÜTOLU,VAR
Kadınhanı,KURTHASANLI,YOK
Kadınhanı,KÜÇÜKKUYU,YOK
Kadınhanı,MAHMUDİYE,YOK
Kadınhanı,MEYDANLI,VAR
Kadınhanı,ÖRNEK,YOK
Kadınhanı,PİRALİ,YOK
Kadınhanı,PUSAT,YOK
Kadınhanı,SAÇIKARA,YOK
Kadınhanı,SARIKAYA,YOK
Kadınhanı,SÖĞÜTÖZÜ,YOK
Kadınhanı,ŞAHÖREN,YOK
Kadınhanı,TOSUNOĞLU,YOK
Kadınhanı,YAĞLICA,YOK
Kadınhanı,YAYLAYAKA,YOK
Karapınar,HOTAMIŞ,YOK
Karapınar,KESMEZ,YOK
Karapınar,AKÇAYAZI,YOK
Karapınar,AKÖREN,VAR
Karapınar,ÇİĞİL,YOK
Karapınar,HASANOBA,YOK
Karapınar,İSLİK,YOK
Karapınar,KARAKIŞLA,YOK
Karapınar,KAYACIK,YOK
Karapınar,KAYALI,YOK
Karapınar,KAZANHÜYÜĞÜ,YOK
Karapınar,KÜÇÜKAŞLAMA,YOK
Karapınar,ORTAOBA,YOK
Karapınar,OYMALI,VAR
Karapınar,SAZLIPINAR,YOK
Karapınar,YAĞMAPINAR,YOK
Karapınar,YENİKUYU,YOK
Karapınar,YEŞİLYURT,YOK
Karatay,YARMA,VAR
Karatay,ACIDORT,YOK
Karatay,AĞSAKLI,YOK
Karatay,AKBAŞ,YOK
Karatay,AKÖRENKIŞLA,YOK
Karatay,BAKIRTOLU,YOK
Karatay,BAŞGÖTÜREN,YOK
Karatay,BEŞAĞIL,YOK
Karatay,BÜYÜKBURNAK,YOK
Karatay,ÇENGİLTİ,YOK
Karatay,DİVANLAR,YOK
Karatay,ESENTEPE,YOK
Karatay,GÖÇÜ,YOK
Karatay,HAYIROĞLU MERKEZ,YOK
Karatay,İPEKLER,YOK
Karatay,İSMİL,YOK
Karatay,KARADONA,YOK
Karatay,KARAKAYA,YOK
Karatay,KATRANCI,YOK
Karatay,KIZÖREN,YOK
Karatay,KÖSEALİ,YOK
Karatay,OBRUK,YOK
Karatay,OVAKAVAĞI,YOK
Karatay,SAKYATAN,YOK
Karatay,SÜRÜÇ,YOK
Karatay,ŞATIR,YOK
Karatay,YAĞLIBAYAT,YOK
Karatay,YAVŞANKUYU,YOK
Karatay,YENİCE,YOK
Karatay,YENİKENT,YOK
Karatay,ZİNCİRLİ,YOK
Kulu,ACIKUYU,YOK
Kulu,AĞILBAŞI,YOK
Kulu,ALTILAR,YOK
Kulu,ARŞINCA,YOK
Kulu,BEŞKARDEŞ,YOK
Kulu,BOĞAZÖREN,YOK
Kulu,BOZAN,YOK
Kulu,BURUNAĞIL,YOK
Kulu,CANIMANA,YOK
Kulu,CELEP,YOK
Kulu,DİPDEDE,YOK
Kulu,DOĞUTEPE,YOK
Kulu,FEVZİYE,YOK
Kulu,GÖKLER,YOK
Kulu,GÜZELYAYLA,YOK
Kulu,HİSAR,YOK
Kulu,KARACADAĞ,YOK
Kulu,KARACADERE,YOK
Kulu,KIRKKUYU,YOK
Kulu,KIRKPINAR,YOK
Kulu,KOZANLI,YOK
Kulu,KÖMÜŞİNİ,YOK
Kulu,KÖŞKER,YOK
Kulu,SARIYAYLA,YOK
Kulu,SEYİTAHMETLİ,YOK
Kulu,SOĞUKKUYU,YOK
Kulu,ŞEREFLİ,VAR
Kulu,TAVLIÖREN,YOK
Kulu,ÖMERANLI,YOK
Kulu,TUZYAKA,YOK
Kulu,YARAŞLI,VAR
Kulu,YAZIÇAYIR,YOK
Kulu,YEŞİLTEPE,YOK
Kulu,YEŞİLYURT,YOK
Kulu,ZİNCİRLİKUYU,YOK
Kulu,BAHADIRLI,YOK
Kulu,DEĞİRMENÖZÜ,YOK
Meram,ERENKAYA,YOK
Meram,YATAĞAN,YOK
Meram,GÖKYURT,VAR
Meram,BAYAT,YOK
Meram,BORUKTOLU,YOK
Meram,BOTSA,YOK
Meram,ÇAYIRBAĞI,VAR
Meram,ÇOMAKLAR,YOK
Meram,ÇUKURÇİMEN,YOK
Meram,EVLİYATEKKE,YOK
Meram,HATUNSARAY,YOK
Meram,İKİPINAR,YOK
Meram,İLYASBABA,YOK
Meram,İNLİCE,YOK
Meram,KARAAĞAÇ,VAR
Meram,KAVAK,YOK
Meram,KAYADİBİ,YOK
Meram,KAYALI,YOK
Meram,KAYHÜYÜK,VAR
Meram,KIZILÖREN,VAR
Meram,KUMRALI,YOK
Meram,SADIKLAR,VAR
Meram,SAĞLIK,YOK
Meram,SARIKIZ,YOK
Meram,SEFAKÖY,YOK
Meram,YEŞİLDERE,VAR
Meram,YEŞİLTEKKE,YOK
Meram,KAŞINHANI,YOK
Sarayönü,LADİK,VAR
Sarayönü,BAHÇESARAY,YOK
Sarayönü,BAŞHÜYÜK,YOK
Sarayönü,BOYALI,YOK
Sarayönü,BÜYÜKZENGİ,VAR
Sarayönü,ÇEŞMELİSEBİL,YOK
Sarayönü,DEĞİRMENLİ,YOK
Sarayönü,ERTUĞRUL,YOK
Sarayönü,GÖZLÜ,YOK
Sarayönü,KADIOĞLU,VAR
Sarayönü,KARABIYIK,YOK
Sarayönü,KARATEPE,YOK
Sarayönü,KAYIÖREN,VAR
Sarayönü,KONAR,YOK
Sarayönü,KURŞUNLU,YOK
Sarayönü,KUYULUSEBİL,YOK
Sarayönü,ÖZKENT,YOK
Sarayönü,YENİCEKAYA,YOK
Selçuklu,BAŞARAKAVAK,nan
Selçuklu,SARAYKÖY,VAR
Selçuklu,SULUTAS,YOK
Selçuklu,TATKÖY,YOK
Selçuklu,AKPINAR,YOK
Selçuklu,BAĞRIKURT,YOK
Selçuklu,BİÇER,YOK
Selçuklu,ÇALDERE,YOK
Selçuklu,ÇALTI,YOK
Selçuklu,ÇANDIR,YOK
Selçuklu,DAĞDERE,YOK
Selçuklu,EĞRİBAYAT,VAR
Selçuklu,GÜVENÇ,YOK
Selçuklu,KALE,YOK
Selçuklu,KARAÖMERLER,YOK
Selçuklu,KERVAN,YOK
Selçuklu,KINIK,YOK
Selçuklu,KIZILCAKUYU,YOK
Selçuklu,MEYDAN,YOK
Selçuklu,SELAHATTİN,YOK
Selçuklu,SIZMA,YOK
Selçuklu,TEPEKENT,YOK
Selçuklu,ULUMUHSİNE,YOK
Selçuklu,YAZIBELEN,YOK
Selçuklu,SİLLE,VAR
Selçuklu,ARDIÇLI,YOK
Selçuklu,AŞAĞIPINARBAŞI,VAR
Selçuklu,YUKARIPINARBAŞI,YOK
Selçuklu,KÜÇÜKMUHSİNE,YOK
Selçuklu,SARICALAR,YOK
Selçuklu,TÖMEK,YOK
Selçuklu,YÜKSELEN,YOK
Seydişehir,KESECİK,YOK
Seydişehir,AKÇALAR,VAR
Seydişehir,AŞAĞIKARAÖREN,YOK
Seydişehir,BAŞKARAÖREN,YOK
Seydişehir,BOSTANDERE,VAR
Seydişehir,BOYALI,YOK
Seydişehir,BÜKÇE,VAR
Seydişehir,ÇAT,YOK
Seydişehir,ÇATMAKAYA,YOK
Seydişehir,ÇAVUŞ,YOK
Seydişehir,DİKİLİTAŞ,YOK
Seydişehir,GEVREKLİ,YOK
Seydişehir,GÖKÇEHÜYÜK,YOK
Seydişehir,GÖKHÜYÜK,YOK
Seydişehir,GÖLYÜZÜ,YOK
Seydişehir,IRMAKLI,YOK
Seydişehir,İNCESU,YOK
Seydişehir,KARABULAK,YOK
Seydişehir,KARACAÖREN,YOK
Seydişehir,KAVAK,YOK
Seydişehir,KETENLİ,YOK
Seydişehir,KIZILCA,VAR
Seydişehir,KOZLU,YOK
Seydişehir,KUMLUCA,YOK
Seydişehir,KURAN,YOK
Seydişehir,MADENLİ,VAR
Seydişehir,MESUDİYE,YOK
Seydişehir,MURADİYE,YOK
Seydişehir,OĞLAKÇI,YOK
Seydişehir,ORTAKARAÖREN,YOK
Seydişehir,SARAYCIK,YOK
Seydişehir,SUSUZ,YOK
Seydişehir,TARAŞÇI,YOK
Seydişehir,TAŞAĞIL,YOK
Seydişehir,TEPECİK,YOK
Seydişehir,TOL,YOK
Seydişehir,UFACIK,YOK
Seydişehir,YAYLACIK,YOK
Seydişehir,YENİCE,VAR
Taşkent,AFŞAR,YOK
Taşkent,BALCILAR,VAR
Taşkent,BOLAY,YOK
Taşkent,ÇETMİ,YOK
Taşkent,KECİMEN,YOK
Taşkent,KONGUL,YOK
Taşkent,SAZAK,YOK
Taşkent,ILICAPINAR,YOK
Tuzlukçu,KONARI,YOK
Tuzlukçu,MEVLÜTLÜ,YOK
Tuzlukçu,KORAŞI,YOK
