ilce_adi,mahalle_adi,sulanabilir_alanda_yetistirilen_urunler1,sulanabilir_alanda_yetistirilen_urunler2,sulanabilir_alanda_yetistirilen_urunler3,sulanabilir_alanda_yetistirilen_urunler4,sulanabilir_alanda_yetistirilen_urunler5,sulanabilir_alanda_yetistirilen_urunler6,sulanabilir_alanda_yetistirilen_urunler7,sulanabilir_alanda_yetistirilen_urunler8,sulanabilir_alanda_yetistirilen_urunler9,sulanabilir_alanda_yetistirilen_urunler10
Cihanbeyli,KANDİL,BUĞDAY, ARPA, NOHUT, MERCİMEK, KİMYON,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,KARABAĞ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,KELHASAN,AYÇİÇEĞİ, YONCA,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,KUŞCA,ŞEKER PANCARI, MISIR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,KÜTÜKUŞAĞI,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, KAVUN, KARPUZ,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,TAŞPINAR,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,BEYLİOVA,MISIR, AYÇİÇEĞİ, PATATES,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,ÇİMEN,ŞEKER PANCARI,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,ÇÖL,ŞEKER PANCARI, MISIR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,DAMLAKUYU,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,BULDUK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,BÜYÜKBEŞKAVAK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,KARATEPE,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,ARIKÖREN,ŞEKER PANCARI, MISIR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,DEDEMOĞLU,ŞEKER PANCARI, MISIR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,TÜRKMENCAMİLİ,ŞEKER PANCARI, MISIR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,A.B.HÜYÜĞÜ,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, FASULYE,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,DİNEK,ŞEKER PANCARI, MISIR, FASULYE,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,İÇERİÇUMRA,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, FASULYE,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,GÜVERCİNLİK,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, DOMATES,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,KARKIN,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, KAVUN,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,OKÇU,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,YENİSU,ŞEKER PANCARI, MISIR, KAVUN, KARPUZ,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,APA,BUĞDAY, ŞEKER PANCARI, MISIR, FASULYE,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,ABDİTOLU,BUĞDAY, ŞEKER PANCARI, MISIR, AYÇİÇEĞİ,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,ADAKALE,ŞEKER PANCARI, MISIR, YONCA,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,ALEMDAR,ŞEKER PANCARI, MISIR, FASULYE,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,APASARAYCIK,MISIR, FASULYE,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,AFŞAR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,AVDUL,ŞEKER PANCARI, MISIR, FASULYE,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,BALÇIKHİSAR,ŞEKER PANCARI, MISIR, FASULYE, KAVUN, KARPUZ,YOK,YOK,YOK,YOK,YOK
Çumra,BEYLERCE,BUĞDAY, ŞEKER PANCARI, MISIR, FASULYE,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,B.AŞLAMA,MISIR, AYÇİÇEĞİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,CİCEK,BUĞDAY, ARPA, FASULYE, DOMATES,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,ÇUKURKAVAK,BUĞDAY, ARPA,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,DİNLENDİK,ŞEKER PANCARI, MISIR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,DİNEKSARAY,ŞEKER PANCARI, FASULYE, KAVUN, KARPUZ,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,DOĞANLI,ŞEKER PANCARI, MISIR, FASULYE,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,FETHİYE,MISIR, FASULYE,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,GÖKHÜYÜK,ŞEKER PANCARI, MISIR, YONCA,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,ERENTEPE,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, FASULYE,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,İNLİ,ŞEKER PANCARI, MISIR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,KUZUCU,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, PATATES,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,KÜÇÜKKÖY,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,SEÇME,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, FASULYE, KAVUN,YOK,YOK,YOK,YOK,YOK
Çumra,SÜRGÜÇ,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,TAHTALI,BUĞDAY, ARPA,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,T.KARAHÜYÜK,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,TAŞAĞIL,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,UZUNKUYU,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,ÜÇHÜYÜK,BUĞDAY, ŞEKER PANCARI, MISIR,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,ÜRÜNLÜ,ŞEKER PANCARI, MISIR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,YÖRÜKCAMİLİ,BUĞDAY, ARPA, ŞEKER PANCARI, MISIR,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,ÇAYBAŞI,ŞEKER PANCARI, MISIR, FASULYE, ÇEREZLİK KABAK,YOK,YOK,YOK,YOK,YOK,YOK
Derbent,ÇİFTLİKÖZÜ,ŞEKER PANCARI, MISIR, FASULYE,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Derbent,DEĞİŞ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Derbent,TEKKE,BUĞDAY, ARPA,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Derbent,GÜNEYKÖY,ELMA, KİRAZ, VİŞNE, ERİK,YOK,YOK,YOK,YOK,YOK,YOK
Derbent,MÜLAYİM,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Derbent,SARAYPINAR,ELMA, KİRAZ, VİŞNE,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Derbent,YASSIÖREN,BUĞDAY, ARPA, FASULYE,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Derbent,SÜLEYMAN,BUĞDAY, ARPA, ŞEKER PANCARI, MISIR,YOK,YOK,YOK,YOK,YOK,YOK
Derbent,KARALAR,ÇİLEK, YONCA, FASULYE,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Derebucak,ÇAMLIK,ELMA, DOMATES, PATATES,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Derebucak,DURAK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Derebucak,GENCEK,ÇİLEK, FASULYE, PATATES,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Derebucak,GÖYNEM,ÇİLEK, FASULYE,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Derebucak,PINARBAŞI,ÇİLEK, FASULYE,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Derebucak,TAŞLIPINAR,FASULYE, DOMATES, BİBER,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Derebucak,TEPEARASI,KİRAZ, DOMATES,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Derebucak,UĞURLU,FASULYE, DOMATES, BİBER,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Doğanhisar,BAŞKÖY,ELMA, VİŞNE, ÇİLEK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Doğanhisar,YAZLICA,ŞEKER PANCARI, ÇİLEK, FASULYE, PATATES,YOK,YOK,YOK,YOK,YOK,YOK
Doğanhisar,AYASLAR,KİRAZ, VİŞNE, ÇİLEK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Doğanhisar,ÇINAROBA,AYÇİÇEĞİ, KİRAZ, VİŞNE, ÇİLEK, FASULYE,YOK,YOK,YOK,YOK,YOK
Doğanhisar,DEŞTİĞİN,ÇİLEK, FASULYE,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Doğanhisar,FIRINLI,KİRAZ, VİŞNE, ÇİLEK, CEVİZ, FASULYE, DOMATES, BİBER, PATLICAN, PATATES,YOK
Doğanhisar,GÜVENDİK,VİŞNE, ÇİLEK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Doğanhisar,İLYASLAR,KİRAZ, VİŞNE, FASULYE, DOMATES, BİBER, PATLICAN, PATATES, SOĞAN,YOK,YOK
Doğanhisar,KARAAĞA,ŞEKER PANCARI,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Doğanhisar,KEMER,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Doğanhisar,KOÇAŞ,BUĞDAY, ARPA, NOHUT,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Doğanhisar,KONAKKALE,VİŞNE, ÇİLEK, DOMATES, PATATES,YOK,YOK,YOK,YOK,YOK,YOK
Doğanhisar,TEKKE,ELMA, KİRAZ, VİŞNE, FASULYE,YOK,YOK,YOK,YOK,YOK,YOK
Doğanhisar,UNCULAR,MISIR, ÇİLEK, YONCA, FASULYE, DOMATES, BİBER, PATLICAN, PATATES,YOK,YOK
Doğanhisar,YAZIR,FASULYE,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Doğanhisar,YENİCE,ŞEKER PANCARI, MISIR, ÇİLEK, FASULYE,YOK,YOK,YOK,YOK,YOK,YOK
Emirgazi,EKİZLİ,ÜZÜM,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Emirgazi,AKMESCİT,MISIR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Emirgazi,BESCİ,ŞEKER PANCARI, MISIR, YONCA,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Emirgazi,DEMİRCİ,MISIR, YONCA, FASULYE, DOMATES, BİBER, PATLICAN, PATATES,YOK,YOK,YOK
Emirgazi,GÖLÖREN,BUĞDAY, ARPA,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Emirgazi,IŞIKLAR,MISIR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Emirgazi,KARAÖREN,DOMATES, BİBER, PATATES, SOĞAN,YOK,YOK,YOK,YOK,YOK,YOK
Emirgazi,MEŞELİ,BUĞDAY, MISIR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Emirgazi,ÖBEKTAŞ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Emirgazi,YAMAÇ,MISIR, YONCA,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,ZENGEN,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, YONCA,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,ACIPINAR,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,ADABAĞ,ŞEKER PANCARI, YONCA,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,AKHÜYÜK,MISIR, AYÇİÇEĞİ, YONCA,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,ALHAN,ŞEKER PANCARI, MISIR, YONCA,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,AŞAĞI GÖNDELEN,ŞEKER PANCARI, MISIR, YONCA,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,AŞIKLAR,ŞEKER PANCARI, MISIR, YONCA,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,AZİZİYE,ŞEKER PANCARI, MISIR, KAVUN, KARPUZ, DOMATES,YOK,YOK,YOK,YOK,YOK
Ereğli,BAHÇELİ,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,BELCEAĞAÇ,ŞEKER PANCARI, MISIR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,BELKAYA,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, YONCA,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,BEYKÖY,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,BEYÖREN,ŞEKER PANCARI, MISIR, YONCA, SİYAH HAVUÇ,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,BULGURLUK,ŞEKER PANCARI, AYÇİÇEĞİ, ELMA, FASULYE, KAVUN, KARPUZ,YOK,YOK,YOK,YOK
Ereğli,BURHANİYE,MISIR, AYÇİÇEĞİ, DOMATES,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,BÜYÜKDEDE,BUĞDAY, MISIR, ELMA, KİRAZ, VİŞNE, ERİK, DOMATES, PATATES,YOK,YOK
Ereğli,ÇAKMAK,BUĞDAY, MISIR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,ÇAYHAN,ŞEKER PANCARI, MISIR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,ÇİLLER,ŞEKER PANCARI, MISIR, KAVUN, KARPUZ, DOMATES, BİBER,YOK,YOK,YOK,YOK
Ereğli,ÇİMENCİK,BUĞDAY, MISIR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,GAYBİ,MISIR, NOHUT, KİRAZ, FASULYE,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,GÖKÇEYAZI,MISIR, KİRAZ, YONCA,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,GÖKTÖME,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,HACIMEMİŞ,ŞEKER PANCARI, MISIR, KİRAZ, DOMATES,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,KAMIŞLIKUYU,ARPA, ŞEKER PANCARI, MISIR,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,KARABURUN,BUĞDAY, ARPA, MISIR,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,KARGACI,ŞEKER PANCARI, MISIR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,KIZILGEDİK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,KUSKUNCUK,BUĞDAY, ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, ELMA,YOK,YOK,YOK,YOK,YOK
Ereğli,KUTÖREN,ELMA, KAVUN, DOMATES, PATATES,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,KUZUKUYU,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, SİYAH HAVUÇ,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,MELİCEK,BUĞDAY, ARPA, ŞEKER PANCARI, MISIR, YONCA,YOK,YOK,YOK,YOK,YOK
Ereğli,ORHANİYE,ŞEKER PANCARI, MISIR, KİRAZ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,ÖZGÜRLER,BUĞDAY, ŞEKER PANCARI, MISIR,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,PINARÖZÜ,ŞEKER PANCARI, MISIR, DOMATES,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,SARICA,MISIR, KİRAZ, YONCA,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,SARITOPALLI,MISIR, YONCA, DOMATES,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,SELVİLİ,BUĞDAY, ARPA, ŞEKER PANCARI, YONCA,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,TAŞAĞIL,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,TAŞBUDAK,MISIR, FASULYE, DOMATES,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,TATLIKUYU,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,TÜRKMEN,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,ULUMEŞE,MISIR, YONCA, FASULYE,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,YAZLIK,MISIR, KİRAZ, VİŞNE, ÜZÜM,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,YELLİCE,MISIR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,YENİKÖY,ŞEKER PANCARI, MISIR, ELMA, KAVUN, KARPUZ, DOMATES, BİBER,YOK,YOK,YOK
Ereğli,YILDIZLI,ELMA, KİRAZ, ERİK, KAYISI,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,YUKARIGÖNDELEN,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, KAVUN, KARPUZ,YOK,YOK,YOK,YOK,YOK
Ereğli,HORTU,ŞEKER PANCARI, MISIR, DOMATES, SİYAH HAVUÇ,YOK,YOK,YOK,YOK,YOK,YOK
Ereğli,ACIKUYU,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, YONCA, KAVUN, KARPUZ, DOMATES,YOK,YOK,YOK
Güneysınır,GÜRAĞAÇ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Güneysınır,AĞAÇOBA,MISIR, NOHUT, FASULYE, PATATES,YOK,YOK,YOK,YOK,YOK,YOK
Güneysınır,ALANÖZÜ,BUĞDAY, ARPA, DOMATES, BİBER, PATLICAN, PATATES,YOK,YOK,YOK,YOK
Güneysınır,AVCITEPE,BUĞDAY, NOHUT, ÜZÜM,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Güneysınır,AYDOĞMUŞ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Güneysınır,HABİLLER,KİRAZ, ÜZÜM, ŞEFTALİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Güneysınır,KARAGÜNEY,BUĞDAY, ARPA, NOHUT, FASULYE,YOK,YOK,YOK,YOK,YOK,YOK
Güneysınır,KAYAAĞZI,BUĞDAY, ARPA, MISIR, NOHUT, FASULYE, PATATES,YOK,YOK,YOK,YOK
Güneysınır,KIZILÖZ,ELMA, FASULYE,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Güneysınır,KURUKAVAK,BUĞDAY, ARPA, ELMA, DOMATES,YOK,YOK,YOK,YOK,YOK,YOK
Güneysınır,MEHMET ALİ,MISIR, NOHUT, PATATES,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Güneysınır,ÖMEROĞLU,BUĞDAY, ELMA, KİRAZ, ÜZÜM,YOK,YOK,YOK,YOK,YOK,YOK
Güneysınır,ÖRENBOYALI,FASULYE, PATATES,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Güneysınır,SARIHACI,KİRAZ, ÜZÜM, ÇİLEK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Hadim,AŞAĞIEŞENLER,KİRAZ, ÜZÜM,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Hadim,AŞAĞIKIZILKAYA,BUĞDAY, KİRAZ, SARIMSAK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Hadim,BADEMLİ,ELMA, KİRAZ, ÜZÜM,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Hadim,BAĞBAŞI,ELMA, KİRAZ, DOMATES, BİBER, PATLICAN, PATATES, SOĞAN, SARIMSAK,YOK,YOK
Hadim,BEYRELİ,ELMA, KİRAZ, FASULYE, DOMATES,YOK,YOK,YOK,YOK,YOK,YOK
Hadim,BOLAT,ELMA, KİRAZ, ÜZÜM,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Hadim,ÇİFTEPINAR,ELMA, KİRAZ, ÜZÜM, ARMUT, ŞEFTALİ,YOK,YOK,YOK,YOK,YOK
Hadim,DEDEMLİ,ELMA, KİRAZ, ÜZÜM, DOMATES, BİBER, PATLICAN, PATATES,YOK,YOK,YOK
Hadim,DÜLGERLER,AYÇİÇEĞİ, ELMA, KİRAZ, ÜZÜM, SARIMSAK,YOK,YOK,YOK,YOK,YOK
Hadim,FAKILAR,KİRAZ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Hadim,GAZİLER,ELMA, KİRAZ, ÜZÜM,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Hadim,GÖYNÜKKIŞLA,ELMA, KİRAZ, ÜZÜM, DOMATES, BİBER, PATATES, SARIMSAK,YOK,YOK,YOK
Hadim,GÜLPINAR,KİRAZ, DOMATES, BİBER, PATATES,YOK,YOK,YOK,YOK,YOK,YOK
Hadim,İĞDEÖREN,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Hadim,KALINAĞIL,ELMA, KİRAZ, ÜZÜM, DOMATES, BİBER, PATATES,YOK,YOK,YOK,YOK
Hadim,KAPLANLI,ELMA, KİRAZ, ÜZÜM, ARMUT,YOK,YOK,YOK,YOK,YOK,YOK
Hadim,GEZLEVİ,KİRAZ, DOMATES, BİBER, PATLICAN, PATATES,YOK,YOK,YOK,YOK,YOK
Hadim,KÜPLÜCE,ELMA, KİRAZ, ÜZÜM,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Hadim,ODUNCU,FASULYE, DOMATES, BİBER, PATATES,YOK,YOK,YOK,YOK,YOK,YOK
Hadim,SARNIÇ,KİRAZ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Hadim,SELAHATTİN,ELMA, KİRAZ, ÜZÜM,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Hadim,UMURLAR,ELMA, KİRAZ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Hadim,YAĞCI,ELMA, KİRAZ, ÜZÜM,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Hadim,YALINÇEVRE,KİRAZ, ÜZÜM, FASULYE, PATATES,YOK,YOK,YOK,YOK,YOK,YOK
Hadim,YELMEZ,ELMA, KİRAZ, ÜZÜM, ŞEFTALİ,YOK,YOK,YOK,YOK,YOK,YOK
Hadim,YENİKONAK,KİRAZ, ÜZÜM, CEVİZ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Hadim,YUKARIEŞENLER,KİRAZ, ÜZÜM,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Halkapınar,İVRİZ,ELMA, KİRAZ, VİŞNE,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Halkapınar,BÜYÜKDOĞAN,KİRAZ, ÜZÜM, CEVİZ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Halkapınar,DEDELİ,ELMA, KİRAZ, CEVİZ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Halkapınar,DELİMAHMUTLU,ELMA, KİRAZ, CEVİZ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Halkapınar,ESKİHİSAR,ELMA, KİRAZ, CEVİZ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Halkapınar,KARAYUSUFLU,ELMA, KİRAZ, FASULYE,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Halkapınar,KAYASARAY,ELMA, KİRAZ, ÜZÜM,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Halkapınar,KÖRLÜ,KİRAZ, VİŞNE, ÜZÜM, CEVİZ, DOMATES, SALATALIK,YOK,YOK,YOK,YOK
Halkapınar,KÜSERE,KİRAZ, VİŞNE, ERİK, CEVİZ,YOK,YOK,YOK,YOK,YOK,YOK
Halkapınar,OSMANKÖSELİ,ELMA, KİRAZ, CEVİZ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Halkapınar,SEYDİFAKILI,MISIR, KİRAZ, YONCA,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Halkapınar,YASSIKAYA,KİRAZ, FASULYE, DOMATES, PATATES,YOK,YOK,YOK,YOK,YOK,YOK
Halkapınar,YAYIKLI,ELMA, KİRAZ, CEVİZ, FASULYE, DOMATES,YOK,YOK,YOK,YOK,YOK
Halkapınar,YEŞİLYURT,MISIR, ELMA, KİRAZ, YONCA, CEVİZ, DOMATES,YOK,YOK,YOK,YOK
Halkapınar,ÇAKILLAR,ELMA, KİRAZ, ÇİLEK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Hüyük,BAŞLAMIŞ,KİRAZ, ÇİLEK, FASULYE, DOMATES, PATATES, SALATALIK,YOK,YOK,YOK,YOK
Hüyük,BUDAK,ŞEKER PANCARI, KİRAZ, VİŞNE, ÇİLEK, DOMATES, PATATES, ŞEFTALİ,YOK,YOK,YOK
Hüyük,BURUNSUZ,ÜZÜM, ÇİLEK, CEVİZ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Hüyük,ÇAMLICA,ELMA, KİRAZ, ERİK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Hüyük,ÇAVUŞ,ELMA, ÇİLEK, CEVİZ, DOMATES, BİBER, PATATES,YOK,YOK,YOK,YOK
Hüyük,ÇUKURKENT,MISIR, KİRAZ, ÇİLEK, YONCA,YOK,YOK,YOK,YOK,YOK,YOK
